﻿Stock Level Summary Report
Merchant ID,B0961005
Merchant Name,Hong Kong online Community pharmacy superstore
Date,2026/06/19
,,,,,,,,,,,,,,,Packing Dimension
Merchant ID,Merchant Product ID,Primary SKU,Merchant SKU ID,SKU Name,SKU Name (Chi),Warehouse ID,StockLevel,Online Status,Invisible,Force Out Of Stock,Create Date,Offline Date,Brand Name (EN),Brand Name (CHI),Height,Width,Depth,Packing Spec(EN),Packing Spec(CHI),Primary Category Code,Primary Category Name (CHI),Currency,Original Price,Discount Price,Discount Rate(%),VIP Discount Price,VIP Discount Rate(%),GOLD VIP Discount Price,GOLD VIP Discount Rate(%),DIAMOND VIP Discount Price,DIAMOND VIP Discount Rate(%),
B0961005,4890008572526_12,Y,B0961005_S_4890008572526_12,(Full Case) Yinhao Jasmine Green Tea (No Sugar) 920ml x12【BB:02/2027】,(原箱) 銀毫茉莉綠茶飲料(無糖) 920ml x 12支【最佳使用日期:02/2027】,B096100591,11,online,N,N,15-May-2026,01-Jan-2099,Authentic Tea House,淳茶舍,400,270,220,920ml x 12,920毫升 x 12,AA11224510001,樽裝茶,HKD,200.4,137.0,31.63673, , , , , , ,
B0961005,4890008577243_24,Y,B0961005_S_4890008577243_24,(Full Case) Yinhao Jasmine Green Tea (No Sugar) 500ml x 24【Best Before:03/2027】,(原箱) 銀毫茉莉綠茶飲料(無糖) 500ml x 24支【最佳使用日期:03/2027】,B096100591,30,online,N,N,18-May-2026,01-Jan-2099,Authentic Tea House,淳茶舍,300,350,300,500ml x 24,500毫升 x 24,AA11224510001,樽裝茶,HKD,237.6,124.0,47.81145, , , , , , ,
B0961005,4890008577248_24,Y,B0961005_S_4890008577248_24,(Full Case) Cloudy Green Tea (No Sugar) 500ml x 12【Best Before:03/2027】,(原箱) 雲抹日式綠茶飲料 (無糖) 500ml x 24支【最佳使用日期:03/2027】,B096100591,53,online,N,N,18-May-2026,01-Jan-2099,Authentic Tea House,淳茶舍,300,350,300,500ml x 24,500毫升 x 24,AA11224510001,樽裝茶,HKD,237.6,124.0,47.81145, , , , , , ,
B0961005,4890008577521_12,Y,B0961005_S_4890008577521_12,(Full Case) Cloudy Green Tea (No Sugar) 920ml x 12【Best Before:02/2027】,(原箱) 雲抹日式綠茶飲料 (無糖) 920ml x 12支【最佳使用日期:02/2027】,B096100591,15,online,N,N,18-May-2026,01-Jan-2099,Authentic Tea House,淳茶舍,300,350,300,920ml x 12,920毫升 x 12,AA11224510001,樽裝茶,HKD,200.4,131.0,34.63074, , , , , , ,
B0961005,4890008579242_24,Y,B0961005_S_4890008579242_24,(Full Case) Puer Tea Beverage (No Sugar) 500ml x 24【Best Before:03/2027】,(原箱) 消茶普洱茶 (無糖) 500ml x 24支【最佳使用日期:03/2027】,B096100591,51,online,N,N,15-May-2026,01-Jan-2099,Authentic Tea House,淳茶舍,400,270,200,500ml x 24,500毫升 x 24,AA11224510001,樽裝茶,HKD,237.6,124.0,47.81145, , , , , , ,
B0961005,4890008579525_12,Y,B0961005_S_4890008579525_12,(Full Case) Puer Tea Beverage (No sugar) 920ml x 12【Best Before:03/2027】,(原箱) 消茶普洱茶飲料 (無糖) 920ml x 12支【最佳使用日期:03/2027】,B096100591,13,online,N,N,15-May-2026,01-Jan-2099,Authentic Tea House,淳茶舍,400,270,220,920ml x 12,920毫升 x 12,AA11224510001,樽裝茶,HKD,200.4,137.0,31.63673, , , , , , ,
B0961005,4890008584246_24,Y,B0961005_S_4890008584246_24,(Full Case) Gyokuro Green Tea Beverage (No Sugar) 500ml x 24【BB:04/2027】,(原箱) 玉露綠茶飲料 (無糖) 500ml x 24支【最佳使用日期:04/2027】,B096100591,51,online,N,N,15-May-2026,01-Jan-2099,Authentic Tea House,淳茶舍,400,270,200,500ml x 24,500毫升 x 24,AA11224510001,樽裝茶,HKD,331.6,125.0,62.30398, , , , , , ,
B0961005,4890008588244_24,Y,B0961005_S_4890008588244_24,(Full Case) Cold Brew Jinxuan Oolong Tea 500ml x 24【Best Before:12/2026】,(原箱) 冷萃金萱烏龍茶 500ml x 24支【最佳使用日期:12/2026】,B096100591,61,online,N,N,15-May-2026,01-Jan-2099,Authentic Tea House,淳茶舍,400,270,200,500ml x 24,500毫升 x 24,AA11224510001,樽裝茶,HKD,300.0,127.0,57.66667, , , , , , ,
B0961005,4890008589241_24,Y,B0961005_S_4890008589241_24,(Full Case) Cold Brew Japanese Deep-Steamed Green Tea 500ml x 24【BB:12/2026】,(原箱) 冷萃日式深蒸綠茶 500ml x 24支【最佳使用日期:12/2026】,B096100591,64,online,N,N,18-May-2026,01-Jan-2099,Authentic Tea House,淳茶舍,300,350,300,500ml x 24,500毫升 x 24,AA11224510001,樽裝茶,HKD,300.0,127.0,57.66667, , , , , , ,
B0961005,4890008893874_24,Y,B0961005_S_4890008893874_24,(Full Case) SchweppesSparkling Lemonade (Mini Can) 200ml x 24 cans【Best Before:04/2027】,(原箱) 玉泉迷你罐裝有氣檸檬水 200ml x 24罐【最佳使用日期:04/2027】,B096100591,26,online,N,N,15-May-2026,01-Jan-2099,可口可樂,可口可樂,320,220,100,200ml x 24,200m毫升 x 24,AA11224510001,樽裝茶,HKD,120.0,82.0,31.66667, , , , , , ,
B0961005,4890228803134,Y,B0961005_S_4890228803134,Gold Bone Setting Liniment 88ml【Best Before:12/2029】,金裝正骨水 88毫升【最佳使用日期:12/2029】,B096100591,0,online,N,N,05-Jun-2026,01-Jan-2099,Yulin,玉林牌,45,130,45,,,AA13404500001,肌肉酸痛 按摩膏,HKD,85.0,58.0,31.76471, , , , , , ,
B0961005,4891032120066_24,Y,B0961005_S_4891032120066_24,(Full case) San Miguel Beer 500ml x 24 Cans【Best Before:03/2027】,(原箱) 啤酒 500ml x 24罐【香港行貨】【最佳使用日期:03/2027】,B096100591,0,online,N,N,22-May-2026,01-Jan-2099,San Miguel,生力,300,350,300,500ml x 24,500毫升 x 24,AA11301150001,生力,HKD,242.0,188.0,22.31405, , , , , , ,
